team,player,position_code,shirt_number,player_id,date_of_birth,age_at_kickoff,value_at_kickoff
Argentina,Franco Armani,GK,1,119634,1986-10-16,36.1,3200000.0
Argentina,Juan Foyth,DF,2,480763,1998-01-12,24.85,25000000.0
Argentina,Nicolás Tagliafico,DF,3,131225,1992-08-31,30.22,9000000.0
Argentina,Gonzalo Montiel,DF,4,402733,1997-01-01,25.88,12000000.0
Argentina,Leandro Paredes,MF,5,166237,1994-06-29,28.39,15000000.0
Argentina,Germán Pezzella,DF,6,113133,1991-06-27,31.4,5000000.0
Argentina,Rodrigo De Paul,MF,7,255901,1994-05-24,28.49,35000000.0
Argentina,Marcos Acuña,MF,8,60410,1991-10-28,31.06,14000000.0
Argentina,Julián Álvarez,FW,9,576024,2000-01-31,22.8,32000000.0
Argentina,Lionel Messi,FW,10,28003,1987-06-24,35.41,50000000.0
Argentina,Ángel Di María,FW,11,45320,1988-02-14,34.77,10000000.0
Argentina,Gerónimo Rulli,GK,12,229604,1992-05-20,30.5,10000000.0
Argentina,Cristian Romero,DF,13,355915,1998-04-27,24.57,55000000.0
Argentina,Exequiel Palacios,MF,14,401578,1998-10-05,24.13,15000000.0
Argentina,Ángel Correa,FW,15,266807,1995-03-09,27.7,40000000.0
Argentina,Thiago Almada,MF,16,576028,2001-04-26,21.57,15000000.0
Argentina,Papu Gómez,MF,17,20005,1988-02-15,34.76,4000000.0
Argentina,Guido Rodríguez,MF,18,342385,1994-04-12,28.61,28000000.0
Argentina,Nicolás Otamendi,DF,19,54781,1988-02-12,34.77,3000000.0
Argentina,Alexis Mac Allister,MF,20,534033,1998-12-24,23.91,32000000.0
Argentina,Paulo Dybala,FW,21,206050,1993-11-15,29.01,30000000.0
Argentina,Lautaro Martínez,FW,22,406625,1997-08-22,25.25,75000000.0
Argentina,Emiliano Martínez,GK,23,111873,1992-09-02,30.21,25000000.0
Argentina,Enzo Fernández,MF,24,648195,2001-01-17,21.84,35000000.0
Argentina,Lisandro Martínez,DF,25,480762,1998-01-18,24.84,50000000.0
Argentina,Nahuel Molina,DF,26,424042,1998-04-06,24.62,18000000.0
Australia,Mathew Ryan,GK,1,128969,1992-04-08,30.62,5000000.0
Australia,Miloš Degenek,DF,2,187353,1994-04-28,28.56,
Australia,Nathaniel Atkinson,DF,3,556038,1999-06-13,23.44,1000000.0
Australia,Kye Rowles,DF,4,399990,1998-06-24,24.41,600000.0
Australia,Fran Karačić,DF,5,367795,1996-05-12,26.52,1200000.0
Australia,Marco Tilio,FW,6,565531,2001-08-23,21.24,900000.0
Australia,Mathew Leckie,FW,7,126214,1991-02-04,31.79,800000.0
Australia,Jamie Maclaren,FW,9,173591,1993-07-29,29.31,1800000.0
Australia,Ajdin Hrustic,MF,10,265625,1996-07-05,26.38,1800000.0
Australia,Awer Mabil,FW,11,255729,1995-09-15,27.18,1500000.0
Australia,Andrew Redmayne,GK,12,51975,1989-01-13,33.85,500000.0
Australia,Aaron Mooy,MF,13,123951,1990-09-15,32.18,4000000.0
Australia,Riley McGree,MF,14,428061,1998-11-02,24.05,2000000.0
Australia,Mitchell Duke,FW,15,177775,1991-01-18,31.84,800000.0
Australia,Aziz Behich,DF,16,136834,1990-12-16,31.93,700000.0
Australia,Cameron Devlin,MF,17,399162,1998-06-07,24.45,700000.0
Australia,Danny Vukovic,GK,18,43113,1985-03-27,37.65,150000.0
Australia,Harry Souttar,DF,19,298091,1998-10-22,24.08,4500000.0
Australia,Thomas Deng,DF,20,366543,1997-03-20,25.67,600000.0
Australia,Garang Kuol,FW,21,967948,2004-09-15,18.18,800000.0
Australia,Jackson Irvine,MF,22,192557,1993-03-07,29.71,2000000.0
Australia,Craig Goodwin,FW,23,214798,1991-12-16,30.93,1200000.0
Australia,Joel King,DF,24,616430,2000-10-30,22.06,500000.0
Australia,Jason Cummings,FW,25,209583,1995-08-01,27.3,900000.0
Australia,Keanu Baccus,MF,26,479037,1998-06-07,24.45,650000.0
Belgium,Thibaut Courtois,GK,1,108390,1992-05-11,30.53,60000000.0
Belgium,Toby Alderweireld,DF,2,42710,1989-03-02,33.72,4000000.0
Belgium,Arthur Theate,DF,3,368891,2000-05-25,22.49,20000000.0
Belgium,Wout Faes,DF,4,292808,1998-04-03,24.63,20000000.0
Belgium,Jan Vertonghen,DF,5,43250,1987-04-24,35.58,1800000.0
Belgium,Axel Witsel,MF,6,35047,1989-01-12,33.85,5000000.0
Belgium,Kevin De Bruyne,MF,7,88755,1991-06-28,31.4,80000000.0
Belgium,Youri Tielemans,MF,8,249565,1997-05-07,25.54,40000000.0
Belgium,Romelu Lukaku,FW,9,96341,1993-05-13,29.52,55000000.0
Belgium,Eden Hazard,FW,10,50202,1991-01-07,31.87,7500000.0
Belgium,Yannick Carrasco,FW,11,140776,1993-09-04,29.21,30000000.0
Belgium,Simon Mignolet,GK,12,50219,1988-03-06,34.71,5000000.0
Belgium,Koen Casteels,GK,13,108880,1992-06-25,30.4,8000000.0
Belgium,Dries Mertens,FW,14,56416,1987-05-06,35.54,3400000.0
Belgium,Thomas Meunier,MF,15,100986,1991-09-12,31.19,6500000.0
Belgium,Thorgan Hazard,MF,16,102226,1993-03-29,29.65,9000000.0
Belgium,Leandro Trossard,FW,17,144028,1994-12-04,27.96,30000000.0
Belgium,Amadou Onana,MF,18,485706,2001-08-16,21.26,35000000.0
Belgium,Leander Dendoncker,DF,19,168157,1995-04-15,27.6,22000000.0
Belgium,Hans Vanaken,MF,20,137576,1992-08-24,30.24,15000000.0
Belgium,Timothy Castagne,MF,21,262226,1995-12-05,26.96,28000000.0
Belgium,Charles De Ketelaere,FW,22,435772,2001-03-10,21.7,30000000.0
Belgium,Michy Batshuayi,FW,23,179184,1993-10-02,29.13,10000000.0
Belgium,Loïs Openda,FW,24,368887,2000-02-16,22.76,12000000.0
Belgium,Jérémy Doku,FW,25,486049,2002-05-27,20.48,18000000.0
Belgium,Zeno Debast,DF,26,548193,2003-10-24,19.07,8000000.0
Brazil,Thiago Silva,DF,3,29241,1984-09-22,38.16,2500000.0
Brazil,not applicable Casemiro,MF,5,16306,1992-02-23,30.74,50000000.0
Brazil,Alex Sandro,DF,6,79960,1991-01-26,31.82,4500000.0
Brazil,Lucas Paquetá,MF,7,444523,1997-08-27,25.23,45000000.0
Brazil,not applicable Fred,MF,8,191614,1993-03-05,29.71,20000000.0
Brazil,not applicable Richarlison,FW,9,378710,1997-05-10,25.53,50000000.0
Brazil,not applicable Neymar,FW,10,68290,1992-02-05,30.79,75000000.0
Brazil,not applicable Raphinha,FW,11,411295,1996-12-14,25.93,50000000.0
Brazil,not applicable Weverton,GK,12,69400,1987-12-13,34.94,3500000.0
Brazil,Dani Alves,DF,13,15951,1983-05-06,39.54,1000000.0
Brazil,Éder Militão,DF,14,401530,1998-01-18,24.84,60000000.0
Brazil,Alex Telles,DF,16,255755,1992-12-15,29.93,14000000.0
Brazil,Bruno Guimarães,MF,17,520624,1997-11-16,25.01,60000000.0
Brazil,Gabriel Jesus,FW,18,363205,1997-04-03,25.63,75000000.0
Brazil,Vinícius Júnior,FW,20,371998,2000-07-12,22.36,120000000.0
Brazil,not applicable Rodrygo,FW,21,412363,2001-01-09,21.86,80000000.0
Brazil,Éverton Ribeiro,MF,22,52896,1989-04-10,33.61,4500000.0
Brazil,not applicable Bremer,DF,24,516716,1997-03-18,25.68,40000000.0
Brazil,Gabriel Martinelli,FW,26,655488,2001-06-18,21.42,60000000.0
Cameroon,Simon Ngapandouetnbu,GK,1,696600,2003-04-12,19.61,400000.0
Cameroon,Nicolas Nkoulou,DF,3,60577,1990-03-27,32.65,1800000.0
Cameroon,Christopher Wooh,DF,4,572326,2001-09-18,21.17,6000000.0
Cameroon,Gaël Ondoua,MF,5,322309,1995-11-04,27.04,800000.0
Cameroon,Moumi Ngamaleu,FW,6,266768,1994-07-09,28.37,4000000.0
Cameroon,Georges-Kévin Nkoudou,MF,7,215679,1995-02-13,27.77,5500000.0
Cameroon,Jean-Pierre Nsame,FW,9,225055,1993-05-01,29.56,4000000.0
Cameroon,Vincent Aboubakar,FW,10,147487,1992-01-22,30.83,5000000.0
Cameroon,Christian Bassogog,FW,11,374281,1995-10-18,27.09,4500000.0
Cameroon,Karl Toko Ekambi,FW,12,315110,1992-09-14,30.18,12000000.0
Cameroon,Eric Maxim Choupo-Moting,FW,13,45660,1989-03-23,33.66,6000000.0
Cameroon,Samuel Gouet,MF,14,452238,1997-12-14,24.93,1300000.0
Cameroon,Pierre Kunde,MF,15,339829,1995-07-26,27.32,2000000.0
Cameroon,Devis Epassy,GK,16,170471,1993-02-02,29.8,700000.0
Cameroon,Olivier Mbaizo,DF,17,426944,1997-08-15,25.26,1500000.0
Cameroon,Martin Hongla,MF,18,398808,1998-03-16,24.68,3500000.0
Cameroon,Collins Fai,DF,19,250638,1992-08-13,30.27,1000000.0
Cameroon,Bryan Mbeumo,FW,20,413039,1999-08-07,23.29,28000000.0
Cameroon,Jean-Charles Castelletto,DF,21,182875,1995-01-26,27.82,4000000.0
Cameroon,Olivier Ntcham,MF,22,224088,1996-02-09,26.78,2800000.0
Cameroon,André Onana,GK,23,234509,1996-04-02,26.63,14000000.0
Cameroon,Enzo Ebosse,DF,24,342877,1999-03-11,23.7,4500000.0
Cameroon,Nouhou Tolo,DF,25,436332,1997-06-23,25.41,3000000.0
Canada,Dayne St. Clair,GK,1,439750,1997-05-09,25.53,1500000.0
Canada,Alistair Johnston,DF,2,637446,1998-10-08,24.12,6000000.0
Canada,Sam Adekugbe,DF,3,287578,1995-01-16,27.84,2000000.0
Canada,Kamal Miller,DF,4,487504,1997-05-16,25.51,4000000.0
Canada,Steven Vitória,DF,5,54716,1987-01-11,35.86,100000.0
Canada,Samuel Piette,MF,6,189019,1994-11-12,28.02,2500000.0
Canada,Stephen Eustáquio,MF,7,512913,1996-12-21,25.91,8000000.0
Canada,Lucas Cavallini,FW,9,221038,1992-12-28,29.89,
Canada,Junior Hoilett,MF,10,58993,1990-06-05,32.46,800000.0
Canada,Tajon Buchanan,FW,11,638793,1999-02-08,23.78,12000000.0
Canada,Iké Ugbo,FW,12,339943,1998-09-21,24.16,4000000.0
Canada,Mark-Anthony Kaye,MF,14,343553,1994-12-02,27.97,
