team,player,player_id,date_of_birth,age_at_kickoff,value_at_kickoff
Mexico,Santiago Gimenez,552955,2001-04-18,25.15,20000000.0
Mexico,Edson Álvarez,401356,1997-10-24,28.63,18000000.0
Mexico,Armando González,837619,2003-04-20,23.14,15000000.0
Mexico,Johan Vásquez,532937,1998-10-22,27.64,13000000.0
Mexico,Julián Quiñones,416090,1997-03-24,29.22,12000000.0
Mexico,Érik Lira,602324,2000-05-08,26.09,12000000.0
Mexico,Álvaro Fidalgo,261503,1997-04-09,29.17,10000000.0
Mexico,Gilberto Mora,1155723,2008-10-14,17.66,10000000.0
Mexico,Marcel Ruiz,597728,2000-10-26,25.62,10000000.0
Mexico,Julián Araujo,513970,2001-08-13,24.83,10000000.0
Mexico,Alexis Vega,424689,1997-11-25,28.54,9000000.0
Mexico,Germán Berterame,401572,1998-11-13,27.58,8500000.0
Mexico,Hirving Lozano,316889,1995-07-30,30.87,8000000.0
Mexico,Obed Vargas,889435,2005-08-05,20.85,8000000.0
Mexico,Luis Chávez,331059,1996-01-15,30.4,7000000.0
Mexico,Orbelín Pineda,334042,1996-03-24,30.21,7000000.0
Mexico,César Montes,387687,1997-02-24,29.29,7000000.0
Mexico,Luis Malagón,423619,1997-03-02,29.28,6500000.0
Mexico,Diego Lainez,371174,2000-06-09,26.0,6500000.0
Mexico,Érick Sánchez,370875,1999-09-27,26.7,6000000.0
Mexico,Rodrigo Huescas,668529,2003-09-18,22.73,6000000.0
Mexico,Efraín Álvarez,504113,2002-06-19,23.98,6000000.0
Mexico,Jesús Orozco Chiquete,915155,2002-02-19,24.31,6000000.0
Mexico,Raúl Rangel,802855,2000-02-25,26.29,6000000.0
Mexico,Roberto Alvarado,353583,1998-09-07,27.76,6000000.0
Mexico,Bryan González,704556,2003-04-10,23.17,6000000.0
South Africa,Lyle Foster,467623,2000-09-03,25.77,10000000.0
South Africa,Bongokuhle Hlongwane,669202,2000-06-20,25.97,3500000.0
South Africa,Siyabonga Ngezana,445610,1997-07-15,28.91,2600000.0
South Africa,Mbekezeli Mbokazi,1378320,2005-09-19,20.73,2500000.0
South Africa,Olwethu Makhanya,1069801,2004-04-30,22.11,2000000.0
South Africa,Samukele Kabini,1175086,2004-03-15,22.24,2000000.0
South Africa,Gift Links,445616,1998-10-02,27.69,1500000.0
